ID,SERIAL,MANUFACTURER,MODEL,SIZE_INCH,RESOLUTION,CONNECTOR,ATTACHED_TO
5694813,HMEMYQVPHG,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-RB-0917
9170930,DMJHTGW382,Dell,P2719H,27,1920x1080,DisplayPort,THINKPAD-VZ-0397
6032074,HMZ94QS7V3,HP,Z24n G2,24,1920x1200,DVI,LATITUDE-VZ-0649
8723933,DM7SH9UQXE,Dell,U2415,24,1920x1200,VGA,PROONE-RB-0429
5127619,DMAQVJ36HX,Dell,P2719H,27,1920x1080,DisplayPort,LATITUDE-VZ-0191
5742876,HMQX9WTH9Y,HP,Z24n G2,24,1920x1200,VGA,ALLINONE-RB-0892
6917399,DMQZ7MEUJZ,Dell,P2719H,27,1920x1080,HDMI,PRODESK-VZ-0393
1897705,DM4F6XKE3M,Dell,P2419H,24,1920x1080,DisplayPort,PROONE-VZ-0765
9421594,DMJKCKZXLT,Dell,P2719H,27,1920x1080,VGA,ELITEDESK-RB-0627
3528310,DM4KCB4HVH,Dell,U2415,24,1920x1200,DisplayPort,ELITEDESK-VZ-0609
9946047,DML6W3ANFK,Dell,P2719H,27,1920x1080,DisplayPort,ALLINONE-VZ-0838
1185691,DM6VPGUPQS,Dell,P2419H,24,1920x1080,DVI,OPTIPLEX-VZ-0755
1024840,DMZHDNV358,Dell,U2415,24,1920x1200,DVI,
3669931,DMXWC9NY7W,Dell,P2719H,27,1920x1080,DisplayPort,ELITEDESK-RB-0357
1001902,HMQTNTPHAG,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-RB-0805
5818410,DM4RMJCUTX,Dell,P2719H,27,1920x1080,DVI,OPTIPLEX-VZ-0795
7619175,DM79AQQF29,Dell,P2419H,24,1920x1080,VGA,OPTIPLEX-RB-0849
3476248,HM2CLQ6TFA,HP,Z24n G2,24,1920x1200,VGA,OPTIPLEX-VZ-0249
5084782,DMWW9B8LZN,Dell,P2419H,24,1920x1080,DVI,PRODESK-RB-0028
6661065,HMNYUL9GT6,HP,E24 G4,24,1920x1080,VGA,
1953816,DMK6238FVR,Dell,P2419H,24,1920x1080,DisplayPort,OPTIPLEX-RB-0181
7655631,DMSGCPEHA3,Dell,U2415,24,1920x1200,DVI,PRODESK-VZ-0810
8117398,DMD3Z6GNGC,Dell,P2419H,24,1920x1080,VGA,PRODESK-VZ-0850
1844987,DM3WZ2RUAY,Dell,P2719H,27,1920x1080,VGA,PRODESK-RB-0355
3551627,DME2Z7YGQ6,Dell,P2419H,24,1920x1080,HDMI,PROONE-RB-0560
4653123,HM6G6ANL9E,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-VZ-0682
3128943,HMVVE399T6,HP,E24 G4,24,1920x1080,DVI,OPTIPLEX-VZ-0688
4414928,DMG4X9MTCN,Dell,P2419H,24,1920x1080,HDMI,ELITEDESK-RB-0132
8620730,DMKP5EDVSH,Dell,U2415,24,1920x1200,VGA,OPTIPLEX-RB-0395
8366817,DMB8X5VEAQ,Dell,P2719H,27,1920x1080,VGA,LATITUDE-VZ-0191
3194823,HMDDEFHQPP,HP,Z24n G2,24,1920x1200,DVI,OPTIPLEX-RB-0110
1059092,HMNYME573Z,HP,E24 G4,24,1920x1080,DisplayPort,LATITUDE-VZ-0736
2343039,HMJLSAY2FM,HP,Z24n G2,24,1920x1200,HDMI,OPTIPLEX-VZ-0137
5999764,DM8B4FQULH,Dell,U2415,24,1920x1200,DVI,OPTIPLEX-VZ-0422
2734210,DM9CWKM76R,Dell,P2719H,27,1920x1080,VGA,LATITUDE-RB-0808
9989060,DMF2BJMNZ9,Dell,P2719H,27,1920x1080,DVI,
7363127,DM5439HCLR,Dell,P2419H,24,1920x1080,DVI,OPTIPLEX-VZ-0413
2599427,DMKTEWUDCK,Dell,P2719H,27,1920x1080,DVI,ELITEDESK-RB-0677
7323164,HMYJK7RZP3,HP,Z24n G2,24,1920x1200,DisplayPort,PROONE-RB-0996
1894259,HM69GG8RYA,HP,E24 G4,24,1920x1080,VGA,OPTIPLEX-RB-0231
7346530,HMV8PL96ZG,HP,E24 G4,24,1920x1080,HDMI,THINKCENTRE-VZ-0941
9229182,DMRSDWTS8X,Dell,P2419H,24,1920x1080,DVI,PROONE-RB-0469
2728064,DMQS2T4RNH,Dell,P2719H,27,1920x1080,DisplayPort,LATITUDE-RB-0222
6841325,DMHWNNSVD9,Dell,P2719H,27,1920x1080,DisplayPort,PRODESK-RB-0473
4944873,DMEAMDNMGQ,Dell,P2419H,24,1920x1080,DVI,OPTIPLEX-RB-0869
9660123,HMRCNECFPA,HP,E24 G4,24,1920x1080,DisplayPort,PRODESK-RB-0100
3199362,HMV8UH2SMG,HP,E24 G4,24,1920x1080,VGA,
4055923,HMGBFBT7AD,HP,E24 G4,24,1920x1080,DisplayPort,OPTIPLEX-VZ-0612
5842243,HM64UUFJ9X,HP,E24 G4,24,1920x1080,DisplayPort,OPTIPLEX-RB-0383
2103918,DMUEJ346WW,Dell,P2719H,27,1920x1080,DVI,LATITUDE-RB-0669
6399585,HMKUEGS25W,HP,E24 G4,24,1920x1080,VGA,PRODESK-VZ-0563
2544957,DM6G2GTRF9,Dell,U2415,24,1920x1200,VGA,PRODESK-VZ-0296
4559911,DM87N997T3,Dell,P2719H,27,1920x1080,HDMI,LATITUDE-VZ-0361
2041761,DMMG44NQMU,Dell,P2419H,24,1920x1080,VGA,
7172823,HM9STXE8KN,HP,Z24n G2,24,1920x1200,HDMI,OPTIPLEX-VZ-0847
4690498,HMEKZAG93S,HP,E24 G4,24,1920x1080,DVI,OPTIPLEX-RB-0668
4685546,HMUVQU5SHH,HP,Z24n G2,24,1920x1200,VGA,OPTIPLEX-RB-0466
5747902,HMXP2XRKYJ,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-VZ-0318
3450052,DMPC97AZX2,Dell,P2719H,27,1920x1080,DisplayPort,OPTIPLEX-VZ-0807
9734584,HMFM7VCEKR,HP,E24 G4,24,1920x1080,VGA,THINKCENTRE-RB-0738
8577422,HMP8CSTGVS,HP,Z24n G2,24,1920x1200,DisplayPort,OPTIPLEX-RB-0038
7258151,DM2U2JA2MX,Dell,P2719H,27,1920x1080,HDMI,ELITEDESK-VZ-0201
5400132,HM4ZQVA3J7,HP,E24 G4,24,1920x1080,DVI,ALLINONE-RB-0855
5856207,DMMRKHAXGT,Dell,P2719H,27,1920x1080,HDMI,LATITUDE-RB-0003
3654225,HMD2M39TKG,HP,Z24n G2,24,1920x1200,VGA,OPTIPLEX-RB-0741
4829288,DM57ENKVZ3,Dell,P2719H,27,1920x1080,DVI,PRODESK-RB-0172
1167681,HMLRZP6P8H,HP,E24 G4,24,1920x1080,DVI,
2385553,DM6AMSC796,Dell,P2719H,27,1920x1080,DVI,OPTIPLEX-RB-0225
5412554,HMF6ZNNYAA,HP,E24 G4,24,1920x1080,DisplayPort,LATITUDE-VZ-0369
8458148,DMU3YDG8YT,Dell,P2419H,24,1920x1080,DisplayPort,
4229764,DMPNKZM2B6,Dell,P2719H,27,1920x1080,VGA,PRODESK-VZ-0375
3095222,HMT9E9FALG,HP,E24 G4,24,1920x1080,HDMI,PRODESK-VZ-0563
7242319,HMXW93Y2MU,HP,E24 G4,24,1920x1080,DVI,LATITUDE-VZ-0250
7172345,DM5VNJFT6F,Dell,P2719H,27,1920x1080,DisplayPort,OPTIPLEX-VZ-0153
8502199,HMPLVXKWE9,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-RB-0704
8360623,DMKUE6385V,Dell,U2415,24,1920x1200,HDMI,LATITUDE-RB-0367
6078320,HMETN6Y8T8,HP,E24 G4,24,1920x1080,DVI,LATITUDE-VZ-0580
2461495,DMDWFETMAJ,Dell,P2419H,24,1920x1080,DisplayPort,PRODESK-VZ-0375
5939685,DMQ2FQ6TTV,Dell,P2719H,27,1920x1080,DisplayPort,LATITUDE-RB-0603
4403381,HMKBAXE8Z3,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-RB-0229
5265392,DMA3JJSBTN,Dell,P2719H,27,1920x1080,VGA,OPTIPLEX-VZ-0576
7734591,HM8SKTM7MK,HP,Z24n G2,24,1920x1200,DisplayPort,OPTIPLEX-RB-0199
7103375,HM8KLUY9SD,HP,Z24n G2,24,1920x1200,DVI,
7039835,HMMZPQXZVD,HP,E24 G4,24,1920x1080,VGA,LATITUDE-VZ-0416
2939925,HM3788YJFX,HP,E24 G4,24,1920x1080,VGA,OPTIPLEX-RB-0502
4615241,DM7WZ7WMKV,Dell,P2419H,24,1920x1080,DisplayPort,OPTIPLEX-RB-0915
5503186,DMJYNT5STY,Dell,P2419H,24,1920x1080,HDMI,OPTIPLEX-RB-0515
6880353,HMSCRL5TXL,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-VZ-0877
4378804,HMR6QDEVUJ,HP,E24 G4,24,1920x1080,VGA,
6789783,DMSRQT6ESK,Dell,U2415,24,1920x1200,DVI,LATITUDE-RB-0687
1320228,HMN5LNTLF2,HP,Z24n G2,24,1920x1200,HDMI,ALLINONE-VZ-0746
7080214,HMM53F25V7,HP,E24 G4,24,1920x1080,DVI,LATITUDE-VZ-0936
2912854,HM6QBLDLXE,HP,E24 G4,24,1920x1080,VGA,ALLINONE-VZ-0984
4482344,DMRPC6D9P4,Dell,U2415,24,1920x1200,HDMI,OPTIPLEX-RB-0432
6714095,DM2W6ANCDZ,Dell,P2419H,24,1920x1080,VGA,
4522743,DMZJ3M92E6,Dell,U2415,24,1920x1200,VGA,OPTIPLEX-RB-0168
7378313,DMA32LH9DL,Dell,P2419H,24,1920x1080,DVI,THINKCENTRE-VZ-0176
3936442,HM3HK7TGAB,HP,E24 G4,24,1920x1080,HDMI,
6937921,DMA9QM46H7,Dell,P2419H,24,1920x1080,DVI,THINKCENTRE-RB-0760
7717188,HMJ94UFXMB,HP,Z24n G2,24,1920x1200,VGA,OPTIPLEX-VZ-0023
4886110,DMPLSTJYHK,Dell,P2419H,24,1920x1080,DVI,OPTIPLEX-VZ-0755
7136830,DMFUTRAXKB,Dell,P2719H,27,1920x1080,DisplayPort,ELITEDESK-RB-0022
5311870,DMWL47GUT8,Dell,U2415,24,1920x1200,DVI,ELITEDESK-VZ-0125
8685636,HMF2X9GZST,HP,E24 G4,24,1920x1080,HDMI,LATITUDE-RB-0322
6438386,HMH6XMGYZ5,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-VZ-0230
6505776,DMLZQ6KPJP,Dell,U2415,24,1920x1200,DVI,ELITEDESK-VZ-0931
2809512,DM2FVVUUWC,Dell,P2419H,24,1920x1080,DVI,PRODESK-VZ-0982
2883980,DMDX5X52T3,Dell,P2719H,27,1920x1080,DVI,PROONE-VZ-0325
6760631,DM2GLCVDWD,Dell,P2719H,27,1920x1080,VGA,OPTIPLEX-RB-0232
9207358,HMSFVSHZTG,HP,Z24n G2,24,1920x1200,DisplayPort,LATITUDE-RB-0969
6232179,DMCPAWQ5QV,Dell,U2415,24,1920x1200,VGA,OPTIPLEX-VZ-0803
4866913,DMF3QPRE24,Dell,U2415,24,1920x1200,DVI,OPTIPLEX-RB-0074
6015567,HMAJ2YAWJX,HP,E24 G4,24,1920x1080,DVI,LATITUDE-VZ-0767
8343036,HMMBGYKWBB,HP,Z24n G2,24,1920x1200,DisplayPort,ELITEDESK-VZ-0382
3563284,DM3C3D37CA,Dell,P2719H,27,1920x1080,DisplayPort,THINKCENTRE-VZ-0460
8189357,DMHPGSHKQA,Dell,U2415,24,1920x1200,DVI,OPTIPLEX-VZ-0006
4057063,DMFNFUU86W,Dell,U2415,24,1920x1200,HDMI,PRODESK-VZ-0554
1661863,HMN9EQ9W2N,HP,E24 G4,24,1920x1080,DVI,
3104693,DM8Q5G36QT,Dell,U2415,24,1920x1200,HDMI,ALLINONE-VZ-0476
5468469,HMN9S7KHZ7,HP,E24 G4,24,1920x1080,VGA,OPTIPLEX-RB-0204
9151251,HMVY46XLDA,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-RB-0037
1233370,DM6UPVKR5C,Dell,P2419H,24,1920x1080,DisplayPort,LATITUDE-VZ-0191
2637760,DMU8F48K6W,Dell,U2415,24,1920x1200,HDMI,ELITEDESK-VZ-0335
6896921,DMXKS7G5HD,Dell,U2415,24,1920x1200,HDMI,PRODESK-RB-0633
8687732,DMZGT6DBJY,Dell,U2415,24,1920x1200,DisplayPort,OPTIPLEX-RB-0909
6331291,HMNY6MLXU4,HP,E24 G4,24,1920x1080,HDMI,PRODESK-VZ-0346
7925016,HM4RAA3XQU,HP,Z24n G2,24,1920x1200,DVI,OPTIPLEX-VZ-0724
1348440,DMW95NFZKT,Dell,U2415,24,1920x1200,HDMI,PRODESK-VZ-0554
8512469,HMZQEDB9NL,HP,Z24n G2,24,1920x1200,HDMI,
1678816,DMFF6GSKVX,Dell,P2419H,24,1920x1080,VGA,LATITUDE-VZ-0494
7918945,HMYJ7Y4KPM,HP,Z24n G2,24,1920x1200,VGA,ALLINONE-VZ-0935
6241165,HMCF988G9N,HP,Z24n G2,24,1920x1200,DVI,LATITUDE-VZ-0580
7141589,HM7EXET5KA,HP,Z24n G2,24,1920x1200,DisplayPort,LATITUDE-RB-0966
2443969,DMGZNAXZ2L,Dell,P2719H,27,1920x1080,DVI,ELITEDESK-VZ-0609
2993607,HMCRMGZ34D,HP,E24 G4,24,1920x1080,VGA,PROONE-VZ-0417
4830047,DM636FHU23,Dell,U2415,24,1920x1200,DVI,OPTIPLEX-RB-0074
6384811,DMYEHS9EQA,Dell,P2419H,24,1920x1080,DisplayPort,ALLINONE-RB-0647
1108464,DMUP24ZRGD,Dell,U2415,24,1920x1200,VGA,PROONE-RB-0646
8059688,DME5YEBDV4,Dell,P2419H,24,1920x1080,DVI,OPTIPLEX-VZ-0928
4241234,DMN4JLPQEG,Dell,U2415,24,1920x1200,HDMI,OPTIPLEX-VZ-0006
8378660,DMPCJLT6LT,Dell,P2419H,24,1920x1080,DVI,LATITUDE-VZ-0470
5511189,HM7S22ZV66,HP,E24 G4,24,1920x1080,DVI,OPTIPLEX-RB-0461
1359605,DMFRJ6EZ4K,Dell,P2419H,24,1920x1080,VGA,OPTIPLEX-VZ-0084
1403603,DMJC9VBXP6,Dell,P2719H,27,1920x1080,HDMI,ALLINONE-VZ-0035
2813708,HMLMAUSC9R,HP,Z24n G2,24,1920x1200,HDMI,ALLINONE-RB-0802
6791842,DMX6F99DRA,Dell,P2419H,24,1920x1080,HDMI,OPTIPLEX-VZ-0588
8280880,DMYN9HA38T,Dell,P2719H,27,1920x1080,DVI,THINKPAD-VZ-0880
2598298,HMNCRQY6N6,HP,Z24n G2,24,1920x1200,DVI,PRODESK-VZ-0123
1296161,HMRHWU5J3S,HP,E24 G4,24,1920x1080,DVI,ALLINONE-RB-0647
8990917,DMYA7PFFZQ,Dell,P2419H,24,1920x1080,VGA,OPTIPLEX-RB-0915
3958716,HMDZ8Z3UUW,HP,Z24n G2,24,1920x1200,DVI,PRODESK-VZ-0414
2983859,HMPYYUGJ7D,HP,Z24n G2,24,1920x1200,VGA,OPTIPLEX-RB-0410
2024423,HM6UT7DA4F,HP,Z24n G2,24,1920x1200,DVI,LATITUDE-RB-0731
1456072,DMU4J8HFS5,Dell,P2719H,27,1920x1080,HDMI,
6421830,DMDEP772J8,Dell,P2719H,27,1920x1080,HDMI,OPTIPLEX-RB-0178
3271606,DM5HLSZAZS,Dell,P2419H,24,1920x1080,DisplayPort,OPTIPLEX-RB-0498
7874143,DMPEWU4DCS,Dell,P2719H,27,1920x1080,DVI,ELITEDESK-VZ-0931
4099123,DMQG2EECL9,Dell,U2415,24,1920x1200,DVI,ELITEDESK-VZ-0125
9562113,DM98LXS76A,Dell,P2419H,24,1920x1080,DisplayPort,PRODESK-RB-0407
5800636,HMZT9HZG9F,HP,Z24n G2,24,1920x1200,HDMI,OPTIPLEX-RB-0798
9728432,DM2P6HMG3E,Dell,U2415,24,1920x1200,HDMI,PROONE-RB-0560
1010606,DMKPJJK9GN,Dell,U2415,24,1920x1200,DVI,OPTIPLEX-RB-0567
3765599,DM7YRKQ9U5,Dell,P2419H,24,1920x1080,DVI,THINKCENTRE-VZ-0223
3373916,HM5DYNPQ9H,HP,E24 G4,24,1920x1080,DisplayPort,OPTIPLEX-VZ-0807
9185980,HMJPEP8E8G,HP,E24 G4,24,1920x1080,HDMI,PROONE-RB-0891
3940251,HMN52NFVJM,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-RB-0751
7433071,DMDA8R2XCT,Dell,P2719H,27,1920x1080,DisplayPort,THINKCENTRE-RB-0119
3594772,DMU47M8BDG,Dell,U2415,24,1920x1200,DVI,OPTIPLEX-VZ-0333
5918763,DMSXK7EP72,Dell,P2419H,24,1920x1080,VGA,OPTIPLEX-RB-0271
2848613,DM2GMSN4YL,Dell,P2419H,24,1920x1080,DVI,LATITUDE-RB-0934
3296680,HM2BBYRS9Q,HP,E24 G4,24,1920x1080,HDMI,PRODESK-RB-0018
