ID,NAME,SERIAL,MANUFACTURER,MODEL,TYPE,CPU,RAM_MB,DISK_GB,OS,DOMAIN,LOCATION,BUILDING,ROOM,MACADDR,PURCHASE_DATE,WARRANTY_END
6448059,OptiPlex 7050,DLMJ3ELD2U,Dell,OPTIPLEX-VZ-0023,Desktop,Intel Core i5-7500,4096,1024,Windows 11 Pro,PEDA.UVSQ,Vélizy,Bâtiment B,Salle 142,02:00:00:35:5D:81,2023-03-15,2027-03-14
1093363,OptiPlex 7050,DL5SP49E6V,Dell,OPTIPLEX-RB-0024,Desktop,Intel Core i5-10400,4096,512,Windows 10 Pro,WORKGROUP,Rambouillet,GEII,Salle 125,02:00:00:75:E0:7A,2021-01-28,2024-01-28
1480047,OptiPlex 7070,DLFN52GGZ4,Dell,OPTIPLEX-VZ-0025,Desktop,Intel Core i5-10400,8192,512,Windows 10 Pro,PEDA.UVSQ,Vélizy,INFO,Salle 109,02:00:00:1F:2D:E4,2022-01-02,2027-01-01
4762903,ThinkPad T480,LNGFU8WGD5,Lenovo,THINKPAD-RB-0026,Laptop,Intel Core i5-6500,4096,256,Windows 11 Edu,PEDA.UVSQ,Rambouillet,Bâtiment A,Bureau 226,02:00:00:34:4A:C4,2019-02-22,2023-02-21
9982107,ThinkCentre M720,LNXXH99YEN,Lenovo,THINKCENTRE-VZ-0027,Desktop,Intel Core i5-7500,32768,512,Windows 10 Pro,WORKGROUP,Vélizy,MMI,Salle 144,02:00:00:5B:62:BF,2021-06-14,2024-06-13
4663898,ProDesk 400 G4,HPYBGZ56LZ,HP,PRODESK-RB-0028,Desktop,Intel Core i5-8250U,8192,256,Windows 11 Pro,WORKGROUP,Rambouillet,GEII,Bureau 219,02:00:00:3D:3D:88,2024-11-19,2029-11-18
5185687,OptiPlex 7050,DLCT4ECGUG,Dell,OPTIPLEX-VZ-0029,Desktop,Intel Core i5-6500,4096,512,Windows 11 Edu,WORKGROUP,Vélizy,INFO,Salle 105,02:00:00:57:44:0D,2018-01-03,2021-01-02
7790715,OptiPlex 7070,DLFW57HQ5H,Dell,OPTIPLEX-VZ-0030,Desktop,Intel Core i5-7500,8192,1024,Windows 11 Pro,ADM.UVSQ,Vélizy,MMI,Salle 117,02:00:00:6F:0C:16,2018-04-18,2023-04-17
5035572,ThinkCentre M910,LNXT889AWS,Lenovo,THINKCENTRE-VZ-0031,Desktop,Intel Core i7-8650U,4096,256,Windows 10 Pro,ADM.UVSQ,Vélizy,Bâtiment A,Salle 122,02:00:00:38:53:E9,2018-08-14,2022-08-13
5490879,ProDesk 400 G4,HPS99VV9ME,HP,PRODESK-VZ-0032,Desktop,Intel Core i5-7500,8192,1024,Windows 10 Pro,WORKGROUP,Vélizy,INFO,Salle 111,02:00:00:75:84:3F,2019-08-27,2023-08-26
7460861,OptiPlex 9020,DLJQ2UY7BF,Dell,OPTIPLEX-VZ-0033,Desktop,Intel Core i7-8700,32768,256,Windows 11 Edu,WORKGROUP,Vélizy,Bâtiment A,Salle 117,02:00:00:1E:72:6F,2023-10-31,2026-10-30
3543882,OptiPlex 7060,DL448HBGPK,Dell,OPTIPLEX-VZ-0034,Desktop,Intel Core i7-8700,8192,512,Windows 11 Edu,WORKGROUP,Vélizy,Bâtiment A,Salle 129,02:00:00:51:45:ED,2017-05-18,2022-05-17
9592958,All-in-One 24-df,HPLRG9ASDV,HP,ALLINONE-VZ-0035,AiO,Intel Core i5-7500,8192,256,Windows 10 Pro,PEDA.UVSQ,Vélizy,GEII,Salle 145,02:00:00:64:FD:7F,2017-02-02,2021-02-01
1339050,EliteDesk 800 G3,HP5AWP2XY3,HP,ELITEDESK-VZ-0036,Desktop,Intel Core i5-6500,16384,256,Windows 10 Pro,PEDA.UVSQ,Vélizy,GEII,Bureau 223,02:00:00:1A:1F:3F,2017-11-25,2021-11-24
3854768,OptiPlex 7060,DLKMPBKUPV,Dell,OPTIPLEX-RB-0037,Desktop,Intel Core i5-10400,4096,512,Windows 11 Pro,ADM.UVSQ,Rambouillet,MMI,Salle 105,02:00:00:4D:D5:09,2019-09-29,2022-09-28
8747261,OptiPlex 9020,DL4CX93AW8,Dell,OPTIPLEX-RB-0038,Desktop,Intel Core i5-7500,4096,512,Windows 11 Edu,ADM.UVSQ,Rambouillet,Bâtiment A,Bureau 228,02:00:00:6A:2E:BC,2022-01-13,2026-01-12
7004693,Latitude 5490,DLP93ESLZS,Dell,LATITUDE-VZ-0039,Laptop,Intel Core i7-8700,32768,256,Windows 11 Pro,WORKGROUP,Vélizy,R&T,Bureau 224,02:00:00:26:ED:9F,2024-11-09,2027-11-09
2132733,EliteDesk 800 G3,HP7GLSMEGV,HP,ELITEDESK-RB-0040,Desktop,Intel Core i7-8650U,32768,1024,Windows 11 Pro,ADM.UVSQ,Rambouillet,GEII,Salle 111,02:00:00:13:24:A0,2018-02-21,2022-02-20
6523989,Latitude 5490,DL72R7JWJU,Dell,LATITUDE-VZ-0041,Laptop,Intel Core i5-10400,4096,256,Windows 11 Edu,WORKGROUP,Vélizy,INFO,Salle 110,02:00:00:2F:9E:C2,2022-06-20,2026-06-19
1672436,ThinkCentre M720,LN2RFTM7QN,Lenovo,THINKCENTRE-RB-0042,Desktop,Intel Core i5-6500,16384,1024,Windows 10 Edu,WORKGROUP,Rambouillet,INFO,Bureau 201,02:00:00:69:0F:B9,2018-08-28,2021-08-27
1389953,OptiPlex 7060,DLRTVFZ6Y3,Dell,OPTIPLEX-VZ-0043,Desktop,Intel Core i5-7500,16384,1024,Windows 11 Pro,WORKGROUP,Vélizy,GEII,Bureau 229,02:00:00:5C:9E:61,2020-06-21,2024-06-20
4629508,OptiPlex 7050,DL9EKR84RU,Dell,OPTIPLEX-VZ-0044,Desktop,Intel Core i5-10400,4096,256,Windows 11 Edu,ADM.UVSQ,Vélizy,Bâtiment A,Salle 139,02:00:00:5A:39:7D,2021-04-26,2025-04-25
5264286,ThinkCentre M910,LN7TVZKH85,Lenovo,THINKCENTRE-VZ-0045,Desktop,Intel Core i7-8650U,4096,512,Windows 10 Edu,ADM.UVSQ,Vélizy,INFO,Bureau 203,02:00:00:68:DA:3A,2018-12-23,2022-12-22
8691670,OptiPlex 7060,DLRLB9R6G5,Dell,OPTIPLEX-RB-0046,Desktop,Intel Core i5-10400,32768,256,Windows 11 Pro,ADM.UVSQ,Rambouillet,Bâtiment B,Bureau 220,02:00:00:3F:25:68,2024-10-11,2027-10-11
7440297,ProOne 600 G5 AiO,HPRJA37RZN,HP,PROONE-VZ-0047,AiO,Intel Core i5-6500,4096,1024,Windows 10 Edu,ADM.UVSQ,Vélizy,INFO,Salle 120,02:00:00:5A:38:0F,2023-07-14,2028-07-12
4187898,ProDesk 400 G4,HPAYTY39G5,HP,PRODESK-RB-0048,Desktop,Intel Core i5-6500,8192,256,Windows 10 Edu,WORKGROUP,Rambouillet,Bâtiment A,Salle 154,02:00:00:76:29:D0,2021-09-06,2024-09-05
3878494,Latitude 5490,DLP5J24U4H,Dell,LATITUDE-RB-0049,Laptop,Intel Core i5-10400,32768,512,Windows 11 Pro,PEDA.UVSQ,Rambouillet,Bâtiment A,Salle 123,02:00:00:23:E4:84,2021-02-20,2025-02-19
7085856,OptiPlex 7050,DLN4EV9LUY,Dell,OPTIPLEX-RB-0050,Desktop,Intel Core i5-8250U,4096,1024,Windows 10 Pro,WORKGROUP,Rambouillet,Bâtiment B,Salle 156,02:00:00:32:EA:B7,2021-04-04,2024-04-03
8954808,EliteDesk 800 G3,HPCPEZ5XA9,HP,ELITEDESK-RB-0051,Desktop,Intel Core i5-6500,8192,256,Windows 10 Pro,ADM.UVSQ,Rambouillet,INFO,Salle 104,02:00:00:0F:B0:E0,2023-01-01,2027-12-31
2757242,ProDesk 600 G3,HP7TXHD7UF,HP,PRODESK-VZ-0052,Desktop,Intel Core i5-6500,4096,512,Windows 11 Edu,ADM.UVSQ,Vélizy,Bâtiment A,Bureau 211,02:00:00:1A:8D:BB,2019-10-18,2022-10-17
7468698,OptiPlex 7050,DLBN2E562B,Dell,OPTIPLEX-VZ-0053,Desktop,Intel Core i5-7500,16384,1024,Windows 11 Pro,WORKGROUP,Vélizy,R&T,Salle 103,02:00:00:54:FF:E5,2021-04-08,2025-04-07
4982283,OptiPlex 7060,DL2TVK4YH9,Dell,OPTIPLEX-VZ-0054,Desktop,Intel Core i5-10400,16384,256,Windows 10 Pro,ADM.UVSQ,Vélizy,R&T,Salle 157,02:00:00:41:1C:28,2021-02-23,2024-02-23
4526493,ThinkCentre M720,LNJVDJEYPL,Lenovo,THINKCENTRE-RB-0055,Desktop,Intel Core i7-8650U,4096,1024,Windows 11 Edu,ADM.UVSQ,Rambouillet,Bâtiment A,Salle 140,02:00:00:58:B3:8E,2021-05-04,2024-05-03
4124803,OptiPlex 7050,DLZL43LJ35,Dell,OPTIPLEX-VZ-0056,Desktop,Intel Core i7-8650U,16384,1024,Windows 11 Edu,PEDA.UVSQ,Vélizy,R&T,Bureau 226,02:00:00:45:4F:58,2017-08-19,2020-08-18
6166631,OptiPlex 7070,DLGFJ36NKL,Dell,OPTIPLEX-VZ-0057,Desktop,Intel Core i5-8250U,16384,1024,Windows 11 Edu,WORKGROUP,Vélizy,R&T,Salle 155,02:00:00:72:D0:D6,2020-10-18,2023-10-18
3457746,Latitude 5490,DLJRLFPGFZ,Dell,LATITUDE-RB-0058,Laptop,Intel Core i5-6500,16384,256,Windows 11 Pro,ADM.UVSQ,Rambouillet,R&T,Bureau 209,02:00:00:52:A8:6F,2019-01-16,2024-01-15
2452320,Latitude 5490,DLVG2FETMP,Dell,LATITUDE-RB-0059,Laptop,Intel Core i5-6500,16384,256,Windows 11 Edu,WORKGROUP,Rambouillet,R&T,Salle 134,02:00:00:4A:8D:2F,2017-07-14,2021-07-13
1793905,ProOne 600 G5 AiO,HPQRUFDMFM,HP,PROONE-VZ-0060,AiO,Intel Core i5-8250U,8192,1024,Windows 11 Edu,WORKGROUP,Vélizy,MMI,Salle 115,02:00:00:05:4F:37,2024-03-31,2028-03-30
6090445,ThinkPad T480,LNE4HUC4SA,Lenovo,THINKPAD-VZ-0061,Laptop,Intel Core i5-8250U,4096,512,Windows 10 Edu,ADM.UVSQ,Vélizy,INFO,Salle 124,02:00:00:70:86:69,2020-11-07,2025-11-06
3539570,OptiPlex 9020,DLXDGXH4XQ,Dell,OPTIPLEX-VZ-0062,Desktop,Intel Core i5-7500,16384,512,Windows 10 Edu,PEDA.UVSQ,Vélizy,GEII,Salle 127,02:00:00:1E:F1:3D,2018-11-26,2022-11-25
6207123,OptiPlex 7060,DLPLXFS6ZA,Dell,OPTIPLEX-RB-0063,Desktop,Intel Core i7-8650U,32768,512,Windows 11 Pro,WORKGROUP,Rambouillet,GEII,Bureau 205,02:00:00:21:2D:A5,2020-06-15,2024-06-14
6835263,OptiPlex 7050,DL5C27AQQL,Dell,OPTIPLEX-VZ-0064,Desktop,Intel Core i7-8700,4096,256,Windows 11 Edu,ADM.UVSQ,Vélizy,INFO,Bureau 206,02:00:00:0C:81:9C,2022-03-13,2027-03-12
4095346,OptiPlex 7050,DLN3LXWUCQ,Dell,OPTIPLEX-VZ-0065,Desktop,Intel Core i7-8700,4096,1024,Windows 10 Edu,PEDA.UVSQ,Vélizy,GEII,Salle 152,02:00:00:37:F1:B5,2024-12-16,2027-12-16
3431495,Latitude 5490,DLLYEC7MSD,Dell,LATITUDE-VZ-0066,Laptop,Intel Core i5-7500,4096,1024,Windows 11 Edu,PEDA.UVSQ,Vélizy,INFO,Salle 146,02:00:00:5C:31:C4,2020-09-05,2024-09-04
2697432,ThinkPad T480,LNEFKH8BF4,Lenovo,THINKPAD-VZ-0067,Laptop,Intel Core i5-7500,16384,256,Windows 10 Pro,PEDA.UVSQ,Vélizy,INFO,Bureau 221,02:00:00:45:29:36,2019-01-30,2022-01-29
7287481,All-in-One 24-df,HP452R2CJ4,HP,ALLINONE-RB-0068,AiO,Intel Core i5-6500,32768,256,Windows 11 Pro,PEDA.UVSQ,Rambouillet,MMI,Bureau 206,02:00:00:0C:07:83,2018-09-21,2022-09-20
8633347,OptiPlex 7050,DLCU3VWFRS,Dell,OPTIPLEX-RB-0069,Desktop,Intel Core i7-8700,8192,256,Windows 11 Edu,PEDA.UVSQ,Rambouillet,Bâtiment B,Bureau 213,02:00:00:05:8E:F2,2017-03-06,2022-03-05
7659969,ProDesk 400 G4,HPFEEHUUUP,HP,PRODESK-RB-0070,Desktop,Intel Core i7-8650U,4096,1024,Windows 11 Edu,ADM.UVSQ,Rambouillet,INFO,Salle 156,02:00:00:61:68:92,2017-07-01,2021-06-30
6960578,OptiPlex 7050,DLBZKDGGNF,Dell,OPTIPLEX-RB-0071,Desktop,Intel Core i5-8250U,32768,1024,Windows 10 Pro,PEDA.UVSQ,Rambouillet,GEII,Salle 151,02:00:00:1B:7A:AE,2020-07-09,2023-07-09
5292771,OptiPlex 7060,DLC5SY8L79,Dell,OPTIPLEX-RB-0072,Desktop,Intel Core i7-8700,4096,256,Windows 10 Pro,WORKGROUP,Rambouillet,GEII,Salle 135,02:00:00:60:F3:05,2020-01-19,2025-01-17
2658716,ThinkCentre M910,LN73K9LPVY,Lenovo,THINKCENTRE-VZ-0073,Desktop,Intel Core i7-8700,16384,1024,Windows 11 Pro,WORKGROUP,Vélizy,Bâtiment B,Salle 140,02:00:00:2F:58:7E,2021-07-07,2025-07-06
7063375,OptiPlex 9020,DLN92PEJ5V,Dell,OPTIPLEX-RB-0074,Desktop,Intel Core i7-8700,16384,1024,Windows 10 Edu,PEDA.UVSQ,Rambouillet,R&T,Salle 101,02:00:00:66:04:11,2022-12-05,2025-12-04
5849573,OptiPlex 7050,DLF4LGTA29,Dell,OPTIPLEX-RB-0075,Desktop,Intel Core i7-8650U,16384,1024,Windows 11 Pro,WORKGROUP,Rambouillet,INFO,Bureau 216,02:00:00:07:C3:58,2023-07-14,2027-07-13
7710926,ProDesk 400 G4,HP4M4SELWF,HP,PRODESK-VZ-0076,Desktop,Intel Core i5-10400,4096,1024,Windows 11 Pro,WORKGROUP,Vélizy,INFO,Salle 149,02:00:00:0A:45:CB,2017-08-19,2021-08-18
6833897,Latitude 5490,DL33XSY82P,Dell,LATITUDE-RB-0077,Laptop,Intel Core i7-8700,16384,512,Windows 11 Edu,ADM.UVSQ,Rambouillet,GEII,Salle 157,02:00:00:67:6D:F1,2023-01-11,2026-01-10
9371515,OptiPlex 9020,DLRWGZ6Q2E,Dell,OPTIPLEX-VZ-0078,Desktop,Intel Core i5-8250U,4096,256,Windows 10 Edu,ADM.UVSQ,Vélizy,GEII,Salle 125,02:00:00:30:9C:84,2022-03-31,2026-03-30
7369984,OptiPlex 7070,DLTBT62KB7,Dell,OPTIPLEX-RB-0079,Desktop,Intel Core i5-6500,8192,512,Windows 10 Edu,PEDA.UVSQ,Rambouillet,GEII,Bureau 218,02:00:00:01:69:B0,2022-10-24,2025-10-23
7093358,OptiPlex 7050,DL6NFHK8XN,Dell,OPTIPLEX-VZ-0080,Desktop,Intel Core i7-8650U,4096,1024,Windows 11 Pro,PEDA.UVSQ,Vélizy,Bâtiment B,Bureau 202,02:00:00:6B:9B:4B,2020-08-25,2025-08-24
6821183,Latitude 5490,DLZJR9V4YF,Dell,LATITUDE-VZ-0081,Laptop,Intel Core i5-10400,4096,512,Windows 11 Pro,PEDA.UVSQ,Vélizy,R&T,Bureau 226,02:00:00:50:B2:3C,2024-11-24,2029-11-23
5546909,Latitude 5490,DLDAAY3LQ6,Dell,LATITUDE-VZ-0082,Laptop,Intel Core i5-10400,32768,512,Windows 11 Pro,PEDA.UVSQ,Vélizy,GEII,Bureau 211,02:00:00:22:D8:1A,2018-08-02,2022-08-01
1806785,OptiPlex 7050,DLY835QVR8,Dell,OPTIPLEX-RB-0083,Desktop,Intel Core i5-8250U,16384,1024,Windows 10 Edu,PEDA.UVSQ,Rambouillet,GEII,Salle 104,02:00:00:4E:0A:EA,2019-06-18,2024-06-16
1432476,OptiPlex 7070,DLUFCQSQ9K,Dell,OPTIPLEX-VZ-0084,Desktop,Intel Core i5-6500,32768,256,Windows 11 Pro,WORKGROUP,Vélizy,Bâtiment B,Salle 152,02:00:00:6C:CC:90,2024-06-25,2027-06-25
5552681,OptiPlex 9020,DLR2PXR92U,Dell,OPTIPLEX-VZ-0085,Desktop,Intel Core i7-8650U,32768,1024,Windows 11 Edu,ADM.UVSQ,Vélizy,R&T,Bureau 216,02:00:00:2A:C5:EC,2019-03-28,2023-03-27
3807506,ProDesk 400 G4,HPY4TSWWE4,HP,PRODESK-RB-0086,Desktop,Intel Core i7-8650U,4096,256,Windows 11 Pro,ADM.UVSQ,Rambouillet,Bâtiment A,Salle 117,02:00:00:56:4E:34,2019-02-10,2024-02-09
5269617,ThinkPad T480,LNR7MSYJHW,Lenovo,THINKPAD-VZ-0087,Laptop,Intel Core i5-10400,8192,1024,Windows 11 Pro,ADM.UVSQ,Vélizy,MMI,Bureau 207,02:00:00:2E:9A:DC,2019-07-26,2024-07-24
2763637,All-in-One 24-df,HP4UNFVKET,HP,ALLINONE-RB-0088,AiO,Intel Core i5-8250U,16384,256,Windows 10 Edu,PEDA.UVSQ,Rambouillet,Bâtiment B,Bureau 208,02:00:00:5C:58:AC,2023-06-05,2027-06-04
5955187,OptiPlex 7050,DLUA53FVJM,Dell,OPTIPLEX-RB-0089,Desktop,Intel Core i7-8700,32768,512,Windows 10 Pro,WORKGROUP,Rambouillet,MMI,Salle 141,02:00:00:57:B8:18,2022-09-04,2025-09-03
6828199,ProDesk 400 G4,HPVTMT93CP,HP,PRODESK-VZ-0090,Desktop,Intel Core i5-7500,4096,1024,Windows 10 Pro,PEDA.UVSQ,Vélizy,Bâtiment A,Bureau 210,02:00:00:10:05:C6,2024-04-22,2029-04-21
1997258,EliteDesk 800 G3,HPWTJBTFMY,HP,ELITEDESK-RB-0091,Desktop,Intel Core i7-8700,32768,512,Windows 10 Edu,WORKGROUP,Rambouillet,Bâtiment B,Salle 154,02:00:00:5C:05:63,2018-07-12,2022-07-11
2827924,OptiPlex 7070,DLWTH7T6FC,Dell,OPTIPLEX-VZ-0092,Desktop,Intel Core i5-6500,32768,1024,Windows 10 Edu,WORKGROUP,Vélizy,Bâtiment B,Salle 151,02:00:00:4D:71:0A,2023-03-30,2026-03-29
8046130,ProDesk 400 G4,HP2V4M4DMG,HP,PRODESK-VZ-0093,Desktop,Intel Core i7-8700,4096,512,Windows 10 Pro,PEDA.UVSQ,Vélizy,INFO,Salle 142,02:00:00:09:E2:99,2023-04-05,2027-04-04
1120562,OptiPlex 7060,DL7J7FEPMY,Dell,OPTIPLEX-RB-0094,Desktop,Intel Core i5-10400,8192,1024,Windows 10 Edu,PEDA.UVSQ,Rambouillet,R&T,Bureau 214,02:00:00:2D:C7:7A,2019-01-04,2024-01-03
4558195,ThinkCentre M720,LNPUKCPGXU,Lenovo,THINKCENTRE-RB-0095,Desktop,Intel Core i7-8650U,16384,256,Windows 11 Edu,PEDA.UVSQ,Rambouillet,Bâtiment B,Salle 154,02:00:00:18:4B:CA,2018-01-21,2023-01-20
6738533,OptiPlex 7070,DLB9TGANUT,Dell,OPTIPLEX-RB-0096,Desktop,Intel Core i5-6500,32768,1024,Windows 11 Pro,ADM.UVSQ,Rambouillet,Bâtiment A,Salle 106,02:00:00:31:68:4A,2019-08-06,2024-08-04
2934242,All-in-One 24-df,HP9YAWVPES,HP,ALLINONE-VZ-0097,AiO,Intel Core i5-8250U,8192,256,Windows 11 Pro,WORKGROUP,Vélizy,INFO,Salle 155,02:00:00:1B:15:31,2021-12-10,2024-12-09
3770254,All-in-One 24-df,HP9B6EF3H7,HP,ALLINONE-VZ-0098,AiO,Intel Core i5-7500,4096,256,Windows 10 Edu,PEDA.UVSQ,Vélizy,Bâtiment B,Salle 131,02:00:00:7A:9B:DB,2019-12-16,2024-12-14
4882435,EliteDesk 800 G3,HPWLXKJKGG,HP,ELITEDESK-RB-0099,Desktop,Intel Core i5-6500,32768,512,Windows 11 Edu,ADM.UVSQ,Rambouillet,Bâtiment B,Salle 111,02:00:00:5C:97:F9,2020-05-15,2025-05-14
5737768,ProDesk 600 G3,HPRL7RW9RS,HP,PRODESK-RB-0100,Desktop,Intel Core i5-8250U,32768,1024,Windows 11 Edu,WORKGROUP,Rambouillet,MMI,Bureau 228,02:00:00:01:24:1E,2024-09-28,2029-09-27
9770924,ThinkCentre M910,LNWBMDECBY,Lenovo,THINKCENTRE-VZ-0101,Desktop,Intel Core i5-10400,16384,1024,Windows 10 Edu,WORKGROUP,Vélizy,Bâtiment A,Salle 112,02:00:00:3C:F6:6B,2024-05-09,2027-05-09
6063929,OptiPlex 9020,DLVGDSB5UR,Dell,OPTIPLEX-RB-0102,Desktop,Intel Core i5-6500,4096,256,Windows 11 Edu,WORKGROUP,Rambouillet,Bâtiment A,Salle 130,02:00:00:3F:6A:2A,2020-05-09,2025-05-08
7109770,Latitude 5490,DLG7YP3ASC,Dell,LATITUDE-RB-0103,Laptop,Intel Core i5-8250U,4096,512,Windows 11 Edu,WORKGROUP,Rambouillet,INFO,Bureau 217,02:00:00:3C:61:A3,2024-09-08,2028-09-07
3840790,ProDesk 400 G4,HPQYJECYPC,HP,PRODESK-RB-0104,Desktop,Intel Core i7-8700,8192,512,Windows 10 Pro,ADM.UVSQ,Rambouillet,MMI,Salle 114,02:00:00:6A:73:D2,2024-03-08,2028-03-07
1574025,OptiPlex 9020,DLTG4YNE47,Dell,OPTIPLEX-VZ-0105,Desktop,Intel Core i7-8650U,16384,512,Windows 10 Edu,ADM.UVSQ,Vélizy,Bâtiment B,Salle 142,02:00:00:1C:95:7C,2019-12-25,2023-12-24
4955130,ProDesk 600 G3,HP952D8KF3,HP,PRODESK-RB-0106,Desktop,Intel Core i5-7500,16384,256,Windows 10 Edu,WORKGROUP,Rambouillet,MMI,Salle 115,02:00:00:6E:7F:24,2022-07-14,2025-07-13
